"Time (MJD)" LCO/CSP.B LCO/CSP.B_err LCO/CSP.V LCO/CSP.V_err LCO/CSP.g LCO/CSP.g_err LCO/CSP.i LCO/CSP.i_err LCO/CSP.r LCO/CSP.r_err LICK/LICK.B LICK/LICK.B_err LICK/LICK.V LICK/LICK.V_err Misc/Atlas.cyan Misc/Atlas.cyan_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err SLOAN/SDSS.gprime_filter SLOAN/SDSS.gprime_filter_err SLOAN/SDSS.iprime_filter SLOAN/SDSS.iprime_filter_err SLOAN/SDSS.rprime_filter SLOAN/SDSS.rprime_filter_err SLOAN/SDSS.zprime_filter SLOAN/SDSS.zprime_filter_err Swift/UVOT.B Swift/UVOT.B_err Swift/UVOT.U Swift/UVOT.U_err Swift/UVOT.UVM2 Swift/UVOT.UVM2_err Swift/UVOT.UVW1 Swift/UVOT.UVW1_err Swift/UVOT.UVW2 Swift/UVOT.UVW2_err Swift/UVOT.V Swift/UVOT.V_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-1.000 -19.391 -0.131 -19.371 -0.128 -18.778 -0.136 -17.918 -0.143 -17.119 -0.157 -17.057 -0.157 -16.817 -0.176 -16.295 -0.098 -16.286 -0.092 -16.277 -0.089 -16.304 -0.135 -16.889 -0.319 -16.804 -0.168 -16.759 -0.167 -16.641 -0.195 -16.454 -0.180 -16.527 -0.160 -16.558 -0.155 -16.327 -0.178 -16.043 -0.118 -15.638 -0.381 -15.817 -0.273 -15.993 -0.195 -15.166 -0.327 -16.545 -0.206 40.000 46.503 0.118 0.096 43.402 43.881
-0.900 -19.217 -0.118 -19.199 -0.117 -18.649 -0.124 -17.853 -0.130 -17.093 -0.145 -17.031 -0.145 -16.789 -0.166 -16.314 -0.088 -16.304 -0.082 -16.295 -0.079 -16.321 -0.126 -16.889 -0.312 -16.799 -0.155 -16.753 -0.155 -16.634 -0.184 -16.448 -0.167 -16.525 -0.148 -16.557 -0.142 -16.329 -0.167 -16.058 -0.106 -15.650 -0.369 -15.830 -0.261 -16.007 -0.180 -15.199 -0.312 -16.553 -0.190 40.000 41.784 0.118 0.087 43.402 43.834
-0.800 -19.042 -0.106 -19.026 -0.106 -18.520 -0.112 -17.787 -0.118 -17.067 -0.133 -17.004 -0.133 -16.761 -0.156 -16.333 -0.079 -16.323 -0.072 -16.314 -0.068 -16.340 -0.118 -16.889 -0.305 -16.793 -0.142 -16.746 -0.142 -16.626 -0.173 -16.442 -0.155 -16.522 -0.135 -16.556 -0.129 -16.332 -0.155 -16.073 -0.095 -15.662 -0.357 -15.843 -0.248 -16.022 -0.166 -15.232 -0.297 -16.560 -0.174 40.000 36.766 0.118 0.077 43.402 43.778
-0.700 -18.866 -0.095 -18.853 -0.095 -18.391 -0.101 -17.722 -0.106 -17.040 -0.122 -16.977 -0.122 -16.733 -0.147 -16.354 -0.070 -16.344 -0.063 -16.334 -0.059 -16.359 -0.110 -16.889 -0.299 -16.786 -0.130 -16.739 -0.130 -16.618 -0.162 -16.435 -0.143 -16.519 -0.123 -16.555 -0.117 -16.334 -0.144 -16.088 -0.084 -15.674 -0.345 -15.855 -0.237 -16.036 -0.151 -15.266 -0.282 -16.567 -0.158 40.000 30.709 0.119 0.065 43.414 43.711
-0.600 -18.689 -0.084 -18.680 -0.085 -18.263 -0.090 -17.657 -0.095 -17.014 -0.111 -16.950 -0.111 -16.705 -0.138 -16.376 -0.062 -16.366 -0.054 -16.355 -0.050 -16.379 -0.103 -16.889 -0.293 -16.779 -0.118 -16.731 -0.119 -16.610 -0.152 -16.427 -0.132 -16.515 -0.111 -16.553 -0.105 -16.337 -0.132 -16.104 -0.074 -15.686 -0.334 -15.868 -0.225 -16.050 -0.137 -15.300 -0.268 -16.574 -0.142 40.000 25.781 0.119 0.055 43.414 43.634
-0.500 -18.512 -0.074 -18.506 -0.076 -18.134 -0.080 -17.591 -0.084 -16.986 -0.100 -16.922 -0.101 -16.677 -0.130 -16.399 -0.055 -16.389 -0.047 -16.378 -0.043 -16.399 -0.096 -16.888 -0.288 -16.772 -0.107 -16.722 -0.108 -16.601 -0.143 -16.419 -0.121 -16.510 -0.099 -16.550 -0.093 -16.340 -0.121 -16.120 -0.065 -15.698 -0.322 -15.881 -0.214 -16.064 -0.124 -15.334 -0.254 -16.581 -0.127 40.000 20.674 0.120 0.045 43.422 43.546
-0.400 -18.333 -0.064 -18.332 -0.067 -18.006 -0.070 -17.526 -0.074 -16.959 -0.090 -16.894 -0.091 -16.648 -0.122 -16.423 -0.049 -16.413 -0.041 -16.402 -0.037 -16.420 -0.089 -16.887 -0.283 -16.763 -0.096 -16.713 -0.097 -16.592 -0.134 -16.411 -0.111 -16.505 -0.088 -16.547 -0.082 -16.344 -0.110 -16.136 -0.057 -15.710 -0.311 -15.894 -0.203 -16.078 -0.111 -15.369 -0.240 -16.588 -0.112 40.000 16.269 0.121 0.036 43.427 43.445
-0.300 -18.155 -0.056 -18.159 -0.059 -17.878 -0.061 -17.461 -0.065 -16.931 -0.081 -16.866 -0.082 -16.619 -0.115 -16.448 -0.043 -16.439 -0.036 -16.427 -0.033 -16.441 -0.083 -16.886 -0.278 -16.755 -0.085 -16.704 -0.088 -16.584 -0.126 -16.401 -0.101 -16.499 -0.077 -16.543 -0.071 -16.348 -0.099 -16.153 -0.052 -15.723 -0.300 -15.906 -0.192 -16.091 -0.098 -15.404 -0.227 -16.594 -0.098 40.000 12.431 0.122 0.028 43.433 43.332
-0.200 -17.975 -0.048 -17.985 -0.052 -17.749 -0.053 -17.396 -0.058 -16.903 -0.072 -16.837 -0.073 -16.591 -0.108 -16.474 -0.039 -16.465 -0.032 -16.453 -0.031 -16.463 -0.078 -16.885 -0.274 -16.745 -0.075 -16.694 -0.078 -16.575 -0.119 -16.391 -0.091 -16.492 -0.067 -16.538 -0.061 -16.353 -0.088 -16.169 -0.048 -15.736 -0.289 -15.919 -0.182 -16.104 -0.086 -15.439 -0.215 -16.601 -0.084 40.000 9.359 0.123 0.021 43.438 43.210
-0.100 -17.796 -0.042 -17.812 -0.046 -17.622 -0.047 -17.331 -0.051 -16.875 -0.065 -16.808 -0.065 -16.562 -0.102 -16.499 -0.035 -16.491 -0.029 -16.479 -0.030 -16.484 -0.072 -16.884 -0.270 -16.735 -0.066 -16.683 -0.070 -16.566 -0.112 -16.381 -0.083 -16.484 -0.057 -16.533 -0.051 -16.358 -0.078 -16.187 -0.046 -15.749 -0.278 -15.933 -0.172 -16.118 -0.074 -15.475 -0.202 -16.607 -0.070 40.000 7.397 0.123 0.017 43.438 43.103
-0.000 -17.616 -0.039 -17.639 -0.042 -17.494 -0.042 -17.266 -0.046 -16.846 -0.058 -16.779 -0.059 -16.534 -0.096 -16.524 -0.032 -16.516 -0.028 -16.504 -0.030 -16.504 -0.067 -16.883 -0.267 -16.724 -0.057 -16.671 -0.063 -16.557 -0.106 -16.370 -0.075 -16.476 -0.048 -16.527 -0.042 -16.364 -0.067 -16.204 -0.046 -15.762 -0.267 -15.946 -0.162 -16.131 -0.064 -15.511 -0.191 -16.613 -0.058 31.157 3.992 0.150 0.016 43.178 42.655
0.100 -17.435 -0.037 -17.466 -0.040 -17.367 -0.038 -17.201 -0.042 -16.817 -0.053 -16.750 -0.053 -16.507 -0.091 -16.547 -0.029 -16.540 -0.027 -16.529 -0.030 -16.525 -0.063 -16.882 -0.263 -16.712 -0.049 -16.659 -0.056 -16.548 -0.101 -16.359 -0.068 -16.467 -0.041 -16.519 -0.033 -16.371 -0.057 -16.222 -0.048 -15.776 -0.257 -15.960 -0.152 -16.143 -0.054 -15.547 -0.180 -16.619 -0.047 25.499 2.548 0.178 0.017 42.982 42.324
0.200 -17.256 -0.036 -17.295 -0.039 -17.240 -0.036 -17.136 -0.040 -16.789 -0.048 -16.721 -0.048 -16.481 -0.086 -16.568 -0.028 -16.562 -0.026 -16.551 -0.031 -16.544 -0.058 -16.881 -0.260 -16.699 -0.043 -16.646 -0.051 -16.539 -0.097 -16.348 -0.061 -16.456 -0.034 -16.511 -0.026 -16.379 -0.046 -16.240 -0.050 -15.790 -0.246 -15.974 -0.143 -16.156 -0.045 -15.584 -0.169 -16.624 -0.037 21.639 1.848 0.209 0.018 42.833 42.082
0.300 -17.077 -0.037 -17.125 -0.039 -17.115 -0.035 -17.073 -0.039 -16.762 -0.045 -16.693 -0.045 -16.455 -0.082 -16.586 -0.027 -16.581 -0.027 -16.570 -0.032 -16.563 -0.054 -16.879 -0.258 -16.686 -0.038 -16.632 -0.047 -16.531 -0.094 -16.336 -0.056 -16.445 -0.029 -16.501 -0.020 -16.388 -0.036 -16.259 -0.052 -15.805 -0.236 -15.988 -0.134 -16.168 -0.038 -15.621 -0.159 -16.630 -0.031 18.971 1.442 0.239 0.019 42.720 41.901
0.400 -16.901 -0.038 -16.958 -0.040 -16.991 -0.035 -17.011 -0.039 -16.736 -0.043 -16.668 -0.042 -16.432 -0.077 -16.600 -0.027 -16.596 -0.028 -16.587 -0.034 -16.580 -0.050 -16.878 -0.255 -16.671 -0.035 -16.618 -0.044 -16.523 -0.090 -16.326 -0.051 -16.433 -0.025 -16.490 -0.017 -16.398 -0.026 -16.277 -0.054 -15.820 -0.226 -16.003 -0.126 -16.180 -0.033 -15.659 -0.150 -16.635 -0.030 17.269 1.121 0.262 0.019 42.640 41.740
0.500 -16.728 -0.039 -16.793 -0.040 -16.868 -0.035 -16.952 -0.038 -16.713 -0.042 -16.644 -0.040 -16.410 -0.074 -16.611 -0.029 -16.608 -0.029 -16.601 -0.035 -16.596 -0.047 -16.877 -0.253 -16.655 -0.035 -16.603 -0.043 -16.516 -0.088 -16.316 -0.048 -16.421 -0.024 -16.477 -0.017 -16.409 -0.016 -16.296 -0.056 -15.835 -0.216 -16.018 -0.117 -16.192 -0.031 -15.697 -0.142 -16.640 -0.033 16.138 0.827 0.280 0.016 42.580 41.569
0.600 -16.559 -0.040 -16.632 -0.041 -16.748 -0.035 -16.895 -0.038 -16.692 -0.041 -16.623 -0.039 -16.390 -0.070 -16.618 -0.031 -16.617 -0.031 -16.611 -0.036 -16.610 -0.045 -16.876 -0.251 -16.639 -0.035 -16.588 -0.042 -16.509 -0.085 -16.308 -0.046 -16.410 -0.024 -16.465 -0.019 -16.422 -0.006 -16.315 -0.057 -15.851 -0.206 -16.034 -0.109 -16.205 -0.032 -15.735 -0.135 -16.645 -0.040 15.078 0.570 0.302 0.012 42.525 41.394
0.700 -16.394 -0.041 -16.475 -0.042 -16.631 -0.035 -16.840 -0.038 -16.674 -0.041 -16.605 -0.038 -16.372 -0.066 -16.623 -0.032 -16.623 -0.033 -16.619 -0.037 -16.623 -0.043 -16.876 -0.249 -16.623 -0.036 -16.573 -0.042 -16.502 -0.083 -16.301 -0.044 -16.399 -0.024 -16.454 -0.021 -16.436 -0.003 -16.334 -0.057 -15.867 -0.197 -16.050 -0.100 -16.218 -0.034 -15.774 -0.128 -16.650 -0.047 14.154 0.427 0.324 0.010 42.478 41.248
0.800 -16.235 -0.041 -16.323 -0.042 -16.517 -0.035 -16.790 -0.039 -16.659 -0.041 -16.590 -0.038 -16.356 -0.063 -16.625 -0.034 -16.626 -0.034 -16.624 -0.038 -16.635 -0.042 -16.875 -0.248 -16.608 -0.038 -16.558 -0.041 -16.497 -0.081 -16.297 -0.044 -16.391 -0.026 -16.444 -0.023 -16.452 -0.012 -16.354 -0.057 -15.883 -0.188 -16.067 -0.092 -16.232 -0.038 -15.813 -0.123 -16.654 -0.054 13.676 0.383 0.332 0.012 42.440 41.124
0.900 -16.082 -0.041 -16.176 -0.042 -16.406 -0.035 -16.743 -0.039 -16.646 -0.041 -16.577 -0.038 -16.343 -0.059 -16.625 -0.035 -16.627 -0.035 -16.627 -0.038 -16.645 -0.041 -16.875 -0.246 -16.593 -0.040 -16.544 -0.041 -16.493 -0.079 -16.295 -0.044 -16.384 -0.027 -16.437 -0.026 -16.469 -0.020 -16.373 -0.056 -15.900 -0.178 -16.085 -0.084 -16.247 -0.042 -15.852 -0.118 -16.659 -0.061 13.153 0.333 0.345 0.012 42.403 41.013
1.000 -15.937 -0.041 -16.035 -0.042 -16.300 -0.036 -16.700 -0.039 -16.636 -0.042 -16.567 -0.038 -16.332 -0.055 -16.624 -0.035 -16.626 -0.035 -16.628 -0.038 -16.654 -0.041 -16.876 -0.245 -16.579 -0.041 -16.531 -0.040 -16.489 -0.077 -16.295 -0.044 -16.381 -0.028 -16.432 -0.028 -16.488 -0.026 -16.393 -0.054 -15.918 -0.170 -16.103 -0.076 -16.264 -0.047 -15.892 -0.113 -16.663 -0.067 12.635 0.294 0.359 0.012 42.370 40.921
1.100 -15.799 -0.041 -15.901 -0.042 -16.199 -0.036 -16.661 -0.039 -16.630 -0.043 -16.560 -0.038 -16.324 -0.051 -16.622 -0.035 -16.625 -0.034 -16.629 -0.037 -16.662 -0.041 -16.876 -0.244 -16.566 -0.042 -16.519 -0.039 -16.488 -0.075 -16.298 -0.045 -16.379 -0.028 -16.430 -0.030 -16.508 -0.032 -16.413 -0.052 -15.936 -0.161 -16.123 -0.068 -16.281 -0.051 -15.931 -0.110 -16.667 -0.073 12.157 0.266 0.376 0.013 42.341 40.851
1.200 -15.670 -0.041 -15.773 -0.042 -16.103 -0.037 -16.626 -0.039 -16.625 -0.044 -16.556 -0.039 -16.318 -0.047 -16.619 -0.034 -16.623 -0.033 -16.628 -0.035 -16.669 -0.040 -16.878 -0.243 -16.555 -0.042 -16.508 -0.038 -16.487 -0.073 -16.303 -0.045 -16.381 -0.028 -16.431 -0.030 -16.529 -0.037 -16.432 -0.048 -15.954 -0.152 -16.143 -0.060 -16.300 -0.055 -15.970 -0.106 -16.671 -0.078 11.727 0.248 0.392 0.013 42.317 40.800
1.300 -15.549 -0.042 -15.653 -0.043 -16.013 -0.037 -16.595 -0.040 -16.624 -0.045 -16.554 -0.039 -16.314 -0.043 -16.617 -0.033 -16.621 -0.031 -16.628 -0.033 -16.676 -0.040 -16.879 -0.242 -16.547 -0.042 -16.500 -0.036 -16.489 -0.071 -16.311 -0.044 -16.385 -0.027 -16.434 -0.030 -16.551 -0.041 -16.452 -0.045 -15.973 -0.144 -16.165 -0.052 -16.320 -0.059 -16.010 -0.103 -16.676 -0.082 11.343 0.237 0.409 0.014 42.295 40.763
1.400 -15.437 -0.042 -15.539 -0.043 -15.929 -0.038 -16.569 -0.040 -16.625 -0.045 -16.555 -0.039 -16.313 -0.039 -16.615 -0.030 -16.619 -0.028 -16.627 -0.031 -16.683 -0.039 -16.881 -0.241 -16.540 -0.041 -16.494 -0.033 -16.492 -0.069 -16.321 -0.044 -16.391 -0.026 -16.439 -0.030 -16.575 -0.044 -16.472 -0.041 -15.993 -0.137 -16.187 -0.044 -16.340 -0.062 -16.048 -0.100 -16.680 -0.086 11.003 0.230 0.426 0.014 42.277 40.739
1.500 -15.333 -0.043 -15.433 -0.044 -15.851 -0.038 -16.546 -0.040 -16.628 -0.046 -16.558 -0.040 -16.314 -0.034 -16.614 -0.027 -16.619 -0.024 -16.628 -0.028 -16.690 -0.039 -16.884 -0.240 -16.537 -0.040 -16.491 -0.030 -16.498 -0.068 -16.334 -0.043 -16.401 -0.023 -16.448 -0.029 -16.599 -0.046 -16.491 -0.037 -16.013 -0.129 -16.210 -0.037 -16.362 -0.065 -16.087 -0.097 -16.684 -0.088 10.702 0.227 0.442 0.015 42.262 40.722
1.600 -15.236 -0.043 -15.333 -0.044 -15.779 -0.039 -16.528 -0.039 -16.634 -0.046 -16.564 -0.039 -16.318 -0.030 -16.615 -0.024 -16.620 -0.020 -16.630 -0.025 -16.696 -0.038 -16.887 -0.239 -16.537 -0.039 -16.491 -0.027 -16.506 -0.066 -16.349 -0.042 -16.413 -0.020 -16.458 -0.028 -16.624 -0.046 -16.511 -0.034 -16.033 -0.122 -16.234 -0.029 -16.384 -0.067 -16.125 -0.094 -16.688 -0.090 10.441 0.228 0.458 0.016 42.250 40.712
1.700 -15.146 -0.043 -15.239 -0.045 -15.712 -0.039 -16.514 -0.039 -16.642 -0.046 -16.571 -0.039 -16.324 -0.025 -16.618 -0.021 -16.623 -0.016 -16.634 -0.022 -16.703 -0.038 -16.891 -0.238 -16.540 -0.038 -16.495 -0.024 -16.517 -0.064 -16.367 -0.041 -16.427 -0.016 -16.472 -0.026 -16.649 -0.046 -16.530 -0.032 -16.054 -0.115 -16.259 -0.022 -16.407 -0.068 -16.162 -0.091 -16.691 -0.091 10.232 0.231 0.473 0.017 42.242 40.709
1.800 -15.063 -0.043 -15.151 -0.045 -15.651 -0.038 -16.503 -0.038 -16.652 -0.045 -16.581 -0.039 -16.332 -0.022 -16.623 -0.018 -16.628 -0.011 -16.640 -0.019 -16.711 -0.038 -16.895 -0.237 -16.547 -0.038 -16.502 -0.021 -16.530 -0.062 -16.387 -0.040 -16.445 -0.013 -16.488 -0.025 -16.675 -0.045 -16.550 -0.032 -16.075 -0.109 -16.285 -0.016 -16.430 -0.069 -16.198 -0.088 -16.695 -0.092 10.065 0.236 0.486 0.018 42.237 40.713
1.900 -14.986 -0.043 -15.070 -0.044 -15.595 -0.038 -16.496 -0.037 -16.663 -0.045 -16.593 -0.038 -16.342 -0.019 -16.632 -0.017 -16.637 -0.008 -16.649 -0.018 -16.719 -0.038 -16.899 -0.236 -16.558 -0.037 -16.514 -0.019 -16.546 -0.061 -16.409 -0.039 -16.464 -0.010 -16.506 -0.025 -16.702 -0.044 -16.569 -0.035 -16.097 -0.103 -16.313 -0.012 -16.455 -0.070 -16.234 -0.085 -16.699 -0.092 9.949 0.239 0.497 0.019 42.237 40.719
2.000 -14.914 -0.042 -14.994 -0.044 -15.545 -0.038 -16.492 -0.036 -16.676 -0.044 -16.606 -0.038 -16.355 -0.019 -16.644 -0.017 -16.649 -0.009 -16.662 -0.018 -16.727 -0.038 -16.905 -0.236 -16.573 -0.037 -16.531 -0.018 -16.564 -0.059 -16.434 -0.038 -16.486 -0.011 -16.527 -0.025 -16.728 -0.041 -16.588 -0.039 -16.119 -0.097 -16.341 -0.012 -16.479 -0.069 -16.269 -0.082 -16.703 -0.091 9.741 0.229 0.516 0.019 42.232 40.700
2.100 -14.848 -0.041 -14.923 -0.043 -15.500 -0.037 -16.492 -0.036 -16.691 -0.043 -16.621 -0.037 -16.370 -0.020 -16.659 -0.018 -16.665 -0.012 -16.677 -0.019 -16.736 -0.038 -16.910 -0.235 -16.592 -0.037 -16.551 -0.019 -16.584 -0.058 -16.460 -0.038 -16.511 -0.013 -16.550 -0.026 -16.755 -0.037 -16.607 -0.045 -16.141 -0.092 -16.370 -0.014 -16.504 -0.068 -16.302 -0.079 -16.707 -0.089 9.477 0.211 0.542 0.020 42.227 40.667
2.200 -14.786 -0.041 -14.857 -0.042 -15.460 -0.037 -16.495 -0.035 -16.706 -0.042 -16.637 -0.036 -16.386 -0.021 -16.677 -0.020 -16.683 -0.015 -16.694 -0.020 -16.745 -0.038 -16.916 -0.234 -16.615 -0.037 -16.576 -0.021 -16.607 -0.056 -16.488 -0.037 -16.537 -0.015 -16.574 -0.027 -16.782 -0.033 -16.625 -0.051 -16.163 -0.087 -16.399 -0.018 -16.529 -0.067 -16.335 -0.076 -16.711 -0.087 9.252 0.198 0.568 0.021 42.226 40.650
2.300 -14.728 -0.040 -14.796 -0.041 -15.424 -0.037 -16.499 -0.034 -16.722 -0.041 -16.654 -0.036 -16.404 -0.022 -16.697 -0.022 -16.703 -0.017 -16.713 -0.022 -16.755 -0.037 -16.923 -0.233 -16.641 -0.037 -16.603 -0.022 -16.631 -0.055 -16.518 -0.036 -16.565 -0.017 -16.601 -0.028 -16.808 -0.029 -16.643 -0.058 -16.185 -0.083 -16.429 -0.020 -16.554 -0.064 -16.366 -0.072 -16.715 -0.084 9.061 0.189 0.593 0.022 42.228 40.648
2.400 -14.674 -0.039 -14.740 -0.041 -15.392 -0.037 -16.505 -0.034 -16.739 -0.040 -16.671 -0.035 -16.424 -0.023 -16.718 -0.023 -16.725 -0.019 -16.734 -0.023 -16.764 -0.036 -16.930 -0.232 -16.669 -0.037 -16.633 -0.023 -16.657 -0.054 -16.549 -0.036 -16.595 -0.019 -16.629 -0.028 -16.834 -0.023 -16.662 -0.065 -16.207 -0.079 -16.459 -0.022 -16.579 -0.062 -16.395 -0.069 -16.720 -0.081 8.891 0.185 0.620 0.024 42.233 40.656
2.500 -14.624 -0.039 -14.687 -0.040 -15.363 -0.038 -16.513 -0.034 -16.755 -0.039 -16.689 -0.034 -16.444 -0.023 -16.741 -0.023 -16.748 -0.019 -16.756 -0.023 -16.773 -0.036 -16.937 -0.231 -16.699 -0.036 -16.665 -0.023 -16.684 -0.053 -16.581 -0.035 -16.625 -0.019 -16.658 -0.028 -16.859 -0.018 -16.679 -0.072 -16.229 -0.075 -16.489 -0.023 -16.603 -0.058 -16.423 -0.066 -16.724 -0.077 8.733 0.184 0.647 0.025 42.239 40.670
2.600 -14.576 -0.039 -14.638 -0.040 -15.337 -0.038 -16.520 -0.034 -16.772 -0.039 -16.707 -0.034 -16.465 -0.023 -16.764 -0.022 -16.771 -0.018 -16.778 -0.022 -16.782 -0.035 -16.945 -0.230 -16.731 -0.035 -16.699 -0.022 -16.712 -0.052 -16.614 -0.035 -16.656 -0.018 -16.688 -0.027 -16.884 -0.014 -16.697 -0.079 -16.251 -0.072 -16.519 -0.022 -16.628 -0.055 -16.450 -0.064 -16.728 -0.073 8.585 0.186 0.676 0.027 42.247 40.684
2.700 -14.531 -0.039 -14.592 -0.040 -15.312 -0.039 -16.528 -0.034 -16.789 -0.038 -16.725 -0.033 -16.487 -0.022 -16.786 -0.021 -16.794 -0.016 -16.799 -0.021 -16.791 -0.035 -16.952 -0.229 -16.764 -0.033 -16.733 -0.021 -16.740 -0.051 -16.648 -0.034 -16.688 -0.017 -16.718 -0.026 -16.908 -0.013 -16.715 -0.085 -16.273 -0.070 -16.547 -0.021 -16.652 -0.051 -16.475 -0.062 -16.732 -0.069 8.476 0.187 0.699 0.028 42.254 40.689
2.800 -14.489 -0.040 -14.549 -0.040 -15.290 -0.040 -16.535 -0.034 -16.806 -0.037 -16.743 -0.033 -16.509 -0.020 -16.808 -0.019 -16.816 -0.014 -16.820 -0.020 -16.799 -0.035 -16.960 -0.228 -16.798 -0.031 -16.767 -0.019 -16.768 -0.051 -16.682 -0.034 -16.721 -0.015 -16.749 -0.025 -16.931 -0.015 -16.732 -0.091 -16.294 -0.068 -16.575 -0.020 -16.676 -0.047 -16.498 -0.060 -16.737 -0.065 8.422 0.184 0.712 0.029 42.259 40.681
2.900 -14.449 -0.040 -14.508 -0.040 -15.270 -0.041 -16.541 -0.035 -16.822 -0.037 -16.761 -0.032 -16.532 -0.019 -16.829 -0.018 -16.836 -0.011 -16.839 -0.019 -16.806 -0.036 -16.968 -0.226 -16.831 -0.029 -16.801 -0.018 -16.796 -0.050 -16.716 -0.034 -16.753 -0.012 -16.780 -0.023 -16.951 -0.020 -16.749 -0.097 -16.315 -0.066 -16.602 -0.019 -16.699 -0.042 -16.519 -0.059 -16.742 -0.060 8.375 0.183 0.725 0.029 42.266 40.674
3.000 -14.410 -0.041 -14.469 -0.041 -15.250 -0.042 -16.547 -0.035 -16.838 -0.037 -16.778 -0.032 -16.555 -0.019 -16.847 -0.017 -16.855 -0.010 -16.856 -0.019 -16.812 -0.036 -16.976 -0.225 -16.864 -0.027 -16.834 -0.017 -16.823 -0.050 -16.750 -0.034 -16.785 -0.011 -16.810 -0.021 -16.970 -0.025 -16.765 -0.102 -16.336 -0.065 -16.627 -0.019 -16.721 -0.038 -16.539 -0.057 -16.747 -0.056 8.304 0.181 0.743 0.030 42.272 40.670
3.100 -14.373 -0.042 -14.432 -0.041 -15.232 -0.043 -16.552 -0.036 -16.854 -0.037 -16.796 -0.032 -16.579 -0.019 -16.864 -0.018 -16.871 -0.012 -16.871 -0.020 -16.818 -0.036 -16.985 -0.224 -16.896 -0.025 -16.867 -0.018 -16.849 -0.050 -16.783 -0.035 -16.817 -0.013 -16.840 -0.020 -16.988 -0.030 -16.781 -0.107 -16.357 -0.064 -16.651 -0.021 -16.743 -0.034 -16.558 -0.056 -16.752 -0.052 8.200 0.172 0.766 0.030 42.276 40.671
3.200 -14.338 -0.043 -14.397 -0.042 -15.214 -0.044 -16.557 -0.037 -16.868 -0.038 -16.812 -0.033 -16.603 -0.020 -16.879 -0.020 -16.885 -0.016 -16.885 -0.022 -16.823 -0.036 -16.993 -0.223 -16.926 -0.024 -16.897 -0.020 -16.873 -0.051 -16.815 -0.036 -16.848 -0.015 -16.869 -0.020 -17.003 -0.034 -16.797 -0.111 -16.377 -0.064 -16.672 -0.025 -16.764 -0.030 -16.575 -0.055 -16.757 -0.049 8.094 0.163 0.789 0.031 42.280 40.678
3.300 -14.303 -0.044 -14.364 -0.044 -15.197 -0.045 -16.560 -0.038 -16.882 -0.038 -16.828 -0.033 -16.626 -0.021 -16.892 -0.023 -16.897 -0.020 -16.896 -0.025 -16.827 -0.036 -17.000 -0.222 -16.953 -0.024 -16.925 -0.023 -16.897 -0.052 -16.847 -0.037 -16.878 -0.018 -16.897 -0.021 -17.018 -0.038 -16.813 -0.115 -16.397 -0.064 -16.693 -0.030 -16.785 -0.028 -16.591 -0.054 -16.762 -0.047 8.005 0.157 0.810 0.031 42.284 40.691
3.400 -14.269 -0.046 -14.333 -0.045 -15.181 -0.047 -16.563 -0.039 -16.895 -0.039 -16.843 -0.034 -16.649 -0.022 -16.904 -0.027 -16.908 -0.024 -16.906 -0.028 -16.830 -0.035 -17.008 -0.220 -16.978 -0.025 -16.951 -0.026 -16.918 -0.052 -16.877 -0.038 -16.905 -0.021 -16.922 -0.023 -17.031 -0.041 -16.829 -0.118 -16.416 -0.063 -16.712 -0.034 -16.804 -0.028 -16.606 -0.053 -16.768 -0.046 7.929 0.153 0.829 0.032 42.287 40.706
3.500 -14.236 -0.047 -14.303 -0.047 -15.165 -0.048 -16.564 -0.041 -16.908 -0.040 -16.857 -0.035 -16.671 -0.022 -16.914 -0.030 -16.917 -0.028 -16.915 -0.031 -16.832 -0.034 -17.016 -0.219 -16.999 -0.028 -16.974 -0.029 -16.939 -0.054 -16.906 -0.039 -16.931 -0.024 -16.946 -0.026 -17.043 -0.043 -16.844 -0.121 -16.435 -0.064 -16.730 -0.039 -16.823 -0.028 -16.620 -0.052 -16.773 -0.047 7.863 0.150 0.846 0.033 42.290 40.720
3.600 -14.204 -0.049 -14.274 -0.048 -15.149 -0.049 -16.565 -0.042 -16.918 -0.041 -16.870 -0.035 -16.691 -0.021 -16.924 -0.033 -16.926 -0.031 -16.922 -0.034 -16.834 -0.034 -17.023 -0.218 -17.018 -0.030 -16.995 -0.032 -16.957 -0.055 -16.933 -0.039 -16.955 -0.027 -16.967 -0.028 -17.053 -0.045 -16.858 -0.124 -16.454 -0.064 -16.747 -0.044 -16.841 -0.030 -16.633 -0.051 -16.779 -0.047 7.804 0.149 0.862 0.034 42.293 40.732
