"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
29.900 19.932 -0.017 20.200 -0.019 20.751 -0.106 21.219 -0.113 21.964 8.781 0.000 0.000 28.207 28.448
44.900 19.750 -0.029 19.830 -0.448 19.904 -0.798 19.933 -1.027 9.993 0.472 0.000 0.000 27.718 27.099
50.800 20.103 -0.051 19.924 -0.040 19.838 -0.318 19.889 -0.644 7.404 0.099 0.000 0.000 27.525 26.383
107.700 21.524 -0.060 20.633 -0.039 20.238 -0.045 20.433 -0.053 4.763 0.428 0.000 0.000 27.215 26.962
110.700 21.627 -0.055 20.586 -0.035 20.249 -0.059 20.591 -0.078 4.667 0.588 0.000 0.000 27.210 27.124
113.700 21.370 -0.060 20.436 -0.033 20.205 -0.046 20.584 -0.157 4.722 0.499 0.000 0.000 27.291 27.122
116.700 21.509 -0.066 20.732 -0.038 20.303 -0.042 20.354 -0.217 4.433 0.113 0.000 0.000 27.250 26.475
330.000 23.207 -0.292 23.135 -0.635 23.174 -1.013 23.284 -1.195 8.425 0.049 0.000 0.000 26.290 24.779
0.000 22.878 -0.634 22.689 -0.276 22.878 -0.634 23.267 -0.980 9.626 2.040 0.000 0.000 26.508 26.517
29.900 19.932 -0.017 20.200 -0.019 20.751 -0.106 21.219 -0.113 21.964 8.781 0.000 0.000 28.207 28.448
29.900 19.932 -0.017 20.200 -0.019 20.751 -0.106 21.219 -0.113 21.964 8.781 0.000 0.000 28.207 28.448
50.900 20.102 -0.053 19.922 -0.038 19.838 -0.313 19.893 -0.637 7.399 0.097 0.000 0.000 27.525 26.374
107.700 21.524 -0.060 20.633 -0.039 20.238 -0.045 20.433 -0.053 4.763 0.428 0.000 0.000 27.215 26.962
110.700 21.627 -0.055 20.586 -0.035 20.249 -0.059 20.591 -0.078 4.667 0.588 0.000 0.000 27.210 27.124
113.700 21.370 -0.060 20.436 -0.033 20.205 -0.046 20.584 -0.157 4.722 0.499 0.000 0.000 27.291 27.122
116.700 21.509 -0.066 20.732 -0.038 20.303 -0.042 20.354 -0.217 4.433 0.113 0.000 0.000 27.250 26.475
1156.700 23.045 -0.637 22.826 -0.285 23.046 -0.637 23.498 -0.981 9.952 2.663 0.000 0.000 26.463 26.570
21.800 21.546 -0.970 21.945 -0.611 22.420 -0.293 22.697 -0.540 99.171 96.122 0.000 0.000 29.272 29.877
36.800 19.878 -0.852 19.892 -0.488 19.875 -0.038 19.823 -0.422 7.626 0.877 0.000 0.000 27.556 27.303
54.800 19.769 -0.541 19.682 -0.276 19.804 -0.021 20.050 -0.177 10.436 1.922 0.000 0.000 27.795 27.720
75.800 19.823 -1.005 19.955 -0.584 20.014 -0.026 19.979 -0.512 8.878 1.421 0.000 0.000 27.594 27.469
81.700 19.908 -0.983 20.045 -0.562 20.139 -0.031 20.146 -0.483 9.454 1.345 0.000 0.000 27.588 27.407
90.700 20.037 -0.886 20.155 -0.463 20.293 -0.066 20.375 -0.334 10.120 0.889 0.000 0.000 27.578 27.183
108.700 21.641 -0.057 20.668 -0.039 20.264 -0.032 20.497 -0.054 4.583 0.478 0.000 0.000 27.215 27.032
114.700 21.358 -0.063 20.483 -0.037 20.223 -0.030 20.530 -0.177 4.708 0.337 0.000 0.000 27.284 26.932
117.700 21.636 -0.120 20.892 -0.079 20.347 -0.032 20.248 -0.227 4.171 0.165 0.000 0.000 27.251 26.651
408.900 22.194 -1.011 21.969 -0.604 21.875 -0.171 21.946 -0.535 6.814 0.236 0.000 0.000 26.697 25.938
1119.900 23.345 -1.022 22.861 -0.637 22.661 -0.284 22.813 -0.574 5.956 0.545 0.000 0.000 26.317 26.004
1181.700 23.019 -1.010 22.177 -0.598 21.829 -0.142 22.093 -0.528 5.054 0.866 0.000 0.000 26.623 26.606
28.900 20.152 -0.220 20.534 -0.177 21.200 -0.156 21.723 -0.153 nan nan nan nan nan nan
31.900 19.658 -0.415 19.713 -0.319 19.997 -0.189 20.296 -0.055 16.631 3.634 0.000 0.000 28.110 28.084
55.700 19.660 -0.652 19.615 -0.375 19.790 -0.150 20.072 -0.038 14.063 3.509 0.000 0.000 28.028 28.063
88.700 20.018 -0.968 20.159 -0.654 20.310 -0.321 20.389 -0.047 9.692 0.780 0.000 0.000 27.556 27.117
106.700 21.328 -0.112 20.544 -0.090 20.191 -0.093 20.368 -0.048 5.198 0.409 0.000 0.000 27.212 26.858
109.700 21.672 -0.058 20.648 -0.039 20.265 -0.041 20.551 -0.054 4.675 0.556 0.000 0.000 27.192 27.065
320.000 22.835 -1.191 22.002 -0.956 21.300 -0.518 21.084 -0.110 3.869 0.124 0.000 0.000 26.883 26.166
348.000 22.946 -1.206 22.403 -0.975 21.936 -0.558 21.781 -0.242 4.579 0.161 0.000 0.000 26.601 25.899
382.800 22.805 -1.208 22.554 -0.980 22.338 -0.574 22.267 -0.282 5.798 0.257 0.000 0.000 26.470 25.831
439.700 22.222 -1.206 22.123 -0.975 22.038 -0.557 22.010 -0.239 6.738 0.373 0.000 0.000 26.647 26.082
441.700 22.245 -1.207 22.178 -0.977 22.120 -0.564 22.101 -0.259 6.998 0.412 0.000 0.000 26.632 26.091
795.700 21.637 -1.207 21.597 -0.977 21.562 -0.563 21.550 -0.254 7.219 0.449 0.000 0.000 26.871 26.349
