#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
HST/STIS_FUV.F25LYA	1248.7	1369.5	1150	1512	99.7	59.9	HST	STIS	F25LYA filter for HST STIS_FUV, with no grating
HST/STIS_FUV.F25LYA_G140L	1250.8	1359.0	1150	1522	116.7	64.0	HST	STIS	F25LYA filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25LYA_G140M	1251.3	1356.1	1150	1512	112.2	62.9	HST	STIS	F25LYA filter for HST STIS_FUV, with G140M grating
IUE/IUE.1250-1300	1275.0	1284.7	1249	1301	51.0	78.5	IUE	 	IUE 1250-1300 A
HST/ACS_SBC.F122M	1284.6	1421.3	1150	1703	136.6	119.6	HST	ACS	F122M filter for HST ACS_SBC
TD1/SPEC.F1360	1360.0	1360.5	1307	1404	36.2	305.8	TD1	TD1	TD1 Spectrophotometric filter at 1360A
HST/STIS_FUV.25MAMA_G140M	1366.6	1443.3	1150	1742	278.7	263.9	HST	STIS	25MAMA filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.F25ND3_G140M	1369.0	1441.7	1150	1742	278.0	269.1	HST	STIS	F25ND3 filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.25MAMA_G140L	1370.1	1446.0	1150	1725	298.0	271.2	HST	STIS	25MAMA filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25ND3_G140L	1372.8	1444.7	1150	1725	296.0	276.6	HST	STIS	F25ND3 filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25ND5_G140M	1376.0	1452.5	1150	1742	282.5	276.4	HST	STIS	F25ND5 filter for HST STIS_FUV, with G140M grating
TD1/SPEC.F1380	1380.0	1380.6	1327	1424	36.2	333.0	TD1	TD1	TD1 Spectrophotometric filter at 1380A
HST/STIS_FUV.F25ND5_G140L	1380.0	1455.3	1150	1725	302.8	284.2	HST	STIS	F25ND5 filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25NDQ2_G140M	1390.8	1458.6	1160	1742	312.1	301.4	HST	STIS	F25NDQ2 filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.25MAMA	1393.0	1477.2	1150	1876	347.9	294.3	HST	STIS	25MAMA filter for HST STIS_FUV, with no grating
HST/STIS_FUV.F25ND3	1393.3	1472.5	1150	1867	349.5	297.7	HST	STIS	F25ND3 filter for HST STIS_FUV, with no grating
HST/STIS_FUV.F25NDQ3_G140M	1394.2	1460.5	1160	1742	329.6	307.5	HST	STIS	F25NDQ3 filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.F25NDQ2_G140L	1394.9	1461.1	1160	1726	332.0	309.4	HST	STIS	F25NDQ2 filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25NDQ3_G140L	1398.3	1463.0	1160	1726	348.0	315.6	HST	STIS	F25NDQ3 filter for HST STIS_FUV, with G140L grating
TD1/TD1.140	1400.0	1403.0	1350	1450	99.9	368.1	TD1	TD1	TD1 1400 A filter
TD1/NARROW1.1400	1400.0	1403.0	1350	1450	100.0	368.1	TD1	TD1	TD1 100A narrow filter centered at 1400A
TD1/SPEC.F1400	1400.0	1400.7	1347	1444	36.2	365.7	TD1	TD1	TD1 Spectrophotometric filter at 1400A
HST/STIS_FUV.F25NDQ1_G140M	1400.2	1461.8	1150	1742	320.9	317.3	HST	STIS	F25NDQ1 filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.F25NDQ1_G140L	1404.1	1464.2	1150	1726	329.6	325.1	HST	STIS	F25NDQ1 filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25ND5	1404.3	1486.4	1150	1868	356.8	309.3	HST	STIS	F25ND5 filter for HST STIS_FUV, with no grating
HST/STIS_FUV.F25NDQ4_G140M	1415.1	1469.0	1150	1742	342.9	341.1	HST	STIS	F25NDQ4 filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.F25NDQ4_G140L	1418.9	1471.0	1150	1725	346.8	348.6	HST	STIS	F25NDQ4 filter for HST STIS_FUV, with G140L grating
TD1/SPEC.F1420	1420.0	1420.6	1367	1464	36.2	404.7	TD1	TD1	TD1 Spectrophotometric filter at 1420A
HST/STIS_FUV.F25NDQ2	1423.1	1494.4	1160	1887	407.6	337.6	HST	STIS	F25NDQ2 filter for HST STIS_FUV, with no grating
HST/STIS_FUV.F25NDQ3	1426.4	1495.7	1160	1890	416.5	343.3	HST	STIS	F25NDQ3 filter for HST STIS_FUV, with no grating
HST/ACS_SBC.F115LP	1428.8	1501.7	1150	1974	396.1	339.0	HST	ACS	F115LP filter for HST ACS_SBC
HST/STIS_FUV.F25NDQ1	1434.3	1498.1	1150	1891	402.5	354.7	HST	STIS	F25NDQ1 filter for HST STIS_FUV, with no grating
HST/STIS_FUV.F25SRF2_G140M	1435.2	1457.4	1246	1742	225.4	387.5	HST	STIS	F25SRF2 filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.F25SRF2_G140L	1437.8	1459.5	1246	1725	235.1	392.5	HST	STIS	F25SRF2 filter for HST STIS_FUV, with G140L grating
TD1/SPEC.F1440	1440.0	1440.6	1387	1484	36.2	442.4	TD1	TD1	TD1 Spectrophotometric filter at 1440A
HST/ACS_SBC.PR110L	1451.1	1507.9	1160	1979	403.7	372.7	HST	ACS	PR110L disperser for HST ACS_SBC
HST/STIS_FUV.F25NDQ4	1451.9	1505.9	1150	1895	395.2	380.4	HST	STIS	F25NDQ4 filter for HST STIS_FUV, with no grating
TD1/TD1.146	1455.0	1456.7	1400	1510	109.9	455.8	TD1	TD1	TD1 1460 A filter
TD1/NARROW2.1455	1455.0	1456.7	1400	1510	110.0	455.8	TD1	TD1	TD1 110A narrow filter centered at 1455A
HST/ACS_SBC.F125LP	1456.4	1501.3	1217	1975	359.1	383.4	HST	ACS	F125LP filter for HST ACS_SBC
HST/ACS_SBC.PR130L	1457.8	1503.1	1217	1975	353.4	384.6	HST	ACS	PR130L filter for HST ACS_SBC
TD1/SPEC.F1460	1460.0	1459.9	1407	1504	36.2	465.8	TD1	TD1	TD1 Spectrophotometric filter at 1460A
HST/STIS_FUV.F25SRF2	1470.2	1491.7	1244	1887	288.3	422.1	HST	STIS	F25SRF2 filter for HST STIS_FUV, with no grating
IUE/IUE.1450-1500	1475.0	1475.2	1449	1501	51.0	484.2	IUE	 	IUE 1450-1500
TD1/SPEC.F1480	1480.0	1480.4	1427	1524	36.2	481.9	TD1	TD1	TD1 Spectrophotometric filter at 1480A
HST/WFPC2-WF.F122M	1480.8	1673.7	1141	2646	180.6	249.4	HST	WFPC2	F122M filter for HST WFPC2 wide field camera (detector 4)
Astrosat/UVIT.F148W	1481.0	1481.0	1250	1750	414.2	460.1	Astrosat	UVIT	UVIT F148W filter
Astrosat/UVIT.F148Wa	1485.0	1485.0	1250	1750	402.2	466.0	Astrosat	UVIT	UVIT F148Wa filter
HST/WFPC1-WF.G200M2	1497.0	1529.6	1140	1957	383.7	442.2	HST	WFPC1	G200M2 filter for HST WF/PC-1 wide field camera (detector 2)
TD1/TD1.150	1500.0	1500.5	1450	1550	99.9	507.1	TD1	TD1	TD1 1500 A filter
TD1/NARROW1.1500	1500.0	1500.5	1450	1550	100.0	507.1	TD1	TD1	TD1 100A narrow filter centered at 1500A
TD1/SPEC.F1500	1500.0	1500.1	1447	1544	36.2	514.4	TD1	TD1	TD1 Spectrophotometric filter at 1500A
TD1/SPEC.F1520	1520.0	1519.9	1467	1564	36.2	524.7	TD1	TD1	TD1 Spectrophotometric filter at 1520A
HST/WFPC1-PC.G200M2	1532.1	1556.3	1143	1967	389.2	478.4	HST	WFPC1	G200M2 filter for HST WF/PC-1 planetary camera (detector 6)
HST/ACS_SBC.F140LP	1537.6	1542.0	1307	1980	268.9	502.0	HST	ACS	F140LP filter for HST ACS_SBC
TD1/SPEC.F1540	1540.0	1539.9	1487	1584	36.2	538.2	TD1	TD1	TD1 Spectrophotometric filter at 1540A
Astrosat/UVIT.F154W	1541.0	1541.0	1341	1799	372.0	530.5	Astrosat	UVIT	UVIT F154W filter
GALEX/GALEX.FUV	1545.8	1549.0	1340	1806	265.6	520.7	GALEX	 	GALEX FUV
HST/WFPC2-WF.F160BW	1549.5	1595.5	1142	2116	547.7	458.6	HST	WFPC2	F160BW filter for HST WFPC2 wide field camera (detector 4)
HST/WFPC2-PC.F160BW	1549.7	1595.7	1142	2116	548.0	458.8	HST	WFPC2	F160BW filter for HST WFPC2 planetary camera (detector 1)
TD1/SPEC.F1560	1560.0	1560.0	1507	1604	36.2	547.8	TD1	TD1	TD1 Spectrophotometric filter at 1560A
TD1/TD1.157	1565.0	1565.7	1400	1730	329.8	539.2	TD1	TD1	TD1 1570 A filter
TD1/NARROW2.1565	1565.0	1565.3	1510	1620	110.0	558.6	TD1	TD1	TD1 110A narrow filter centered at 1565A
TD1/WIDE.1565	1565.0	1565.7	1400	1730	330.0	539.2	TD1	TD1	TD1 330A wide filter centered at 1565A
HST/STIS_FUV.F25QTZ_G140L	1566.1	1565.5	1452	1725	169.1	548.9	HST	STIS	F25QTZ filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25QTZ_G140M	1570.0	1569.1	1451	1742	168.3	550.0	HST	STIS	F25QTZ filter for HST STIS_FUV, with G140M grating
TD1/SPEC.F1580	1580.0	1580.2	1527	1624	36.2	571.5	TD1	TD1	TD1 Spectrophotometric filter at 1580A
HST/HSP_UV1.F145M_A	1585.9	1586.6	1211	2185	276.6	536.1	HST	HSP	F145M_A filter for HST HSP_UV1
HST/HSP_UV2.F145M_A	1585.9	1586.6	1211	2185	276.6	536.1	HST	HSP	F145M_A filter for HST HSP_UV2
HST/WFPC2-WF.F157W	1588.6	1599.6	1140	2916	435.0	471.1	HST	WFPC2	F157W filter for HST WFPC2 wide field camera (detector 4)
HST/HSP_UV1.F145M_B	1589.0	1589.3	1211	2185	280.4	537.7	HST	HSP	F145M_B filter for HST HSP_UV1
HST/HSP_UV2.F145M_B	1589.0	1589.3	1211	2185	280.4	537.7	HST	HSP	F145M_B filter for HST HSP_UV2
HST/HSP_UV2.PRISM_BLUE	1598.3	1597.0	1219	2185	284.0	545.2	HST	HSP	PRISM_BLUE filter for HST HSP_UV2
TD1/TD1.160	1600.0	1600.4	1550	1650	99.9	586.9	TD1	TD1	TD1 1600 A filter
TD1/NARROW1.1600	1600.0	1600.4	1550	1650	100.0	586.9	TD1	TD1	TD1 100A narrow filter centered at 1600A
TD1/SPEC.F1600	1600.0	1600.0	1547	1644	36.2	592.7	TD1	TD1	TD1 Spectrophotometric filter at 1600A
HST/STIS_FUV.F25QTZ	1605.4	1602.7	1452	1917	226.5	569.0	HST	STIS	F25QTZ filter for HST STIS_FUV, with no grating
Astrosat/UVIT.F169M	1608.0	1608.0	1428	1799	277.2	571.7	Astrosat	UVIT	UVIT F169M filter
HST/ACS_SBC.F150LP	1616.2	1612.1	1420	1986	211.3	574.2	HST	ACS	F150LP filter for HST ACS_SBC
TD1/SPEC.F1620	1620.0	1620.0	1567	1664	36.2	607.2	TD1	TD1	TD1 Spectrophotometric filter at 1620A
HST/WFPC2-PC.F157W	1635.8	1628.6	1140	2918	447.1	483.0	HST	WFPC2	F157W filter for HST WFPC2 planetary camera (detector 1)
TD1/SPEC.F1640	1640.0	1639.5	1587	1684	36.2	604.5	TD1	TD1	TD1 Spectrophotometric filter at 1640A
HST/WFPC2-PC.F122M	1642.8	1942.7	1141	2650	195.0	356.1	HST	WFPC2	F122M filter for HST WFPC2 planetary camera (detector 1)
TD1/SPEC.F1660	1660.0	1659.8	1607	1704	36.2	590.7	TD1	TD1	TD1 Spectrophotometric filter at 1660A
HST/HSP_UV1.F135W_A	1670.0	1691.6	1200	2585	649.8	511.7	HST	HSP	F135W_A filter for HST HSP_UV1
TD1/TD1.168	1675.0	1674.0	1620	1730	109.9	608.2	TD1	TD1	TD1 1680 A filter
TD1/NARROW2.1675	1675.0	1674.0	1620	1730	110.0	608.2	TD1	TD1	TD1 110A narrow filter centered at 1675A
HST/HSP_UV1.F152M_A	1675.7	1663.0	1420	2355	313.9	595.8	HST	HSP	F152M_A filter for HST HSP_UV1
HST/HSP_UV2.F152M_A	1675.7	1663.0	1420	2355	313.9	595.8	HST	HSP	F152M_A filter for HST HSP_UV2
HST/HSP_UV1.F152M_B	1679.8	1666.6	1420	2355	320.4	597.4	HST	HSP	F152M_B filter for HST HSP_UV1
HST/HSP_UV2.F152M_B	1679.8	1666.6	1420	2355	320.4	597.4	HST	HSP	F152M_B filter for HST HSP_UV2
HST/HSP_UV1.F135W_B	1679.9	1699.6	1200	2585	669.1	516.8	HST	HSP	F135W_B filter for HST HSP_UV1
TD1/SPEC.F1680	1680.0	1680.1	1627	1724	36.2	609.7	TD1	TD1	TD1 Spectrophotometric filter at 1680A
IUE/IUE.1675-1725	1700.0	1699.6	1674	1726	51.0	618.5	IUE	 	IUE 1675-1725 A
TD1/TD1.170	1700.0	1699.9	1650	1750	99.9	609.7	TD1	TD1	TD1 1700 A filter
TD1/NARROW1.1700	1700.0	1699.9	1650	1750	100.0	609.7	TD1	TD1	TD1 100A narrow filter centered at 1700A
TD1/SPEC.F1700	1700.0	1699.8	1647	1744	36.2	617.5	TD1	TD1	TD1 Spectrophotometric filter at 1700A
HST/HSP_UV1.PRISM_BLUE	1703.2	1712.0	1200	2585	703.6	540.9	HST	HSP	PRISM_BLUE filter for HST HSP_UV1
Astrosat/UVIT.F172M	1717.0	1717.0	1620	1828	118.4	627.8	Astrosat	UVIT	UVIT F172M filter
TD1/SPEC.F1720	1720.0	1719.9	1667	1764	36.2	619.2	TD1	TD1	TD1 Spectrophotometric filter at 1720A
HST/HSP_UV1.F122M_A	1731.2	1850.9	1117	2685	418.1	490.2	HST	HSP	F122M_A filter for HST HSP_UV1
HST/HSP_UV2.F122M_A	1731.2	1850.9	1117	2685	418.1	490.2	HST	HSP	F122M_A filter for HST HSP_UV2
TD1/SPEC.F1740	1740.0	1740.0	1687	1784	36.2	633.2	TD1	TD1	TD1 Spectrophotometric filter at 1740A
HST/HSP_UV1.F122M_B	1745.7	1860.4	1117	2685	434.9	499.2	HST	HSP	F122M_B filter for HST HSP_UV1
HST/HSP_UV2.F122M_B	1745.7	1860.4	1117	2685	434.9	499.2	HST	HSP	F122M_B filter for HST HSP_UV2
TD1/SPEC.F1760	1760.0	1760.0	1707	1804	36.2	648.9	TD1	TD1	TD1 Spectrophotometric filter at 1760A
HST/ACS_SBC.F165LP	1762.5	1758.6	1500	1997	203.2	646.5	HST	ACS	F165LP filter for HST ACS_SBC
TD1/SPEC.F1780	1780.0	1780.2	1727	1824	36.2	669.9	TD1	TD1	TD1 Spectrophotometric filter at 1780A
TAUVEX/TAUVEX.SF1	1782.3	1769.4	1297	2244	497.4	644.4	TAUVEX	TAUVEX	TAUVEX SF1 approx. filter
TD1/TD1.180	1800.0	1799.3	1750	1850	99.9	672.6	TD1	TD1	TD1 1800 A filter
TD1/NARROW1.1800	1800.0	1799.3	1750	1850	100.0	672.6	TD1	TD1	TD1 100A narrow filter centered at 1800A
TD1/SPEC.F1800	1800.0	1799.9	1747	1844	36.2	689.1	TD1	TD1	TD1 Spectrophotometric filter at 1800A
TD1/SPEC.F1820	1820.0	1819.6	1767	1864	36.2	682.3	TD1	TD1	TD1 Spectrophotometric filter at 1820A
TD1/SPEC.F1840	1840.0	1839.7	1787	1884	36.2	671.2	TD1	TD1	TD1 Spectrophotometric filter at 1840A
TD1/TD1.186	1855.0	1854.4	1800	1910	109.9	690.2	TD1	TD1	TD1 1860 A filter
TD1/NARROW2.1855	1855.0	1854.4	1800	1910	110.0	690.2	TD1	TD1	TD1 110A narrow filter centered at 1855A
TD1/SPEC.F1860	1860.0	1860.1	1807	1904	36.2	683.1	TD1	TD1	TD1 Spectrophotometric filter at 1860A
HST/WFPC2-PC.F170W	1863.5	1829.0	1189	3051	585.0	662.5	HST	WFPC2	F170W filter for HST WFPC2 planetary camera (detector 1)
HST/WFPC2-WF.F170W	1865.9	1831.5	1189	3048	585.6	664.1	HST	WFPC2	F170W filter for HST WFPC2 wide field camera (detector 4)
TD1/SPEC.F1880	1880.0	1880.0	1827	1924	36.2	706.0	TD1	TD1	TD1 Spectrophotometric filter at 1880A
TD1/TD1.190	1900.0	1899.8	1850	1950	99.9	710.5	TD1	TD1	TD1 1900 A filter
TD1/NARROW1.1900	1900.0	1899.8	1850	1950	100.0	710.6	TD1	TD1	TD1 100A narrow filter centered at 1900A
TD1/SPEC.F1900	1900.0	1899.8	1847	1944	36.2	710.8	TD1	TD1	TD1 Spectrophotometric filter at 1900A
HST/FOC_F48.F140W	1915.7	1905.1	1183	3801	583.5	602.5	HST	FOC	F140W filter for HST FOC_F/48
TD1/SPEC.F1920	1920.0	1920.0	1867	1964	36.2	716.6	TD1	TD1	TD1 Spectrophotometric filter at 1920A
TD1/SPEC.F1940	1940.0	1940.1	1887	1984	36.2	735.4	TD1	TD1	TD1 Spectrophotometric filter at 1940A
TD1/SPEC.F1960	1960.0	1959.9	1907	2004	36.2	751.8	TD1	TD1	TD1 Spectrophotometric filter at 1960A
TD1/TD1.197	1965.0	1959.8	1800	2130	329.8	728.8	TD1	TD1	TD1 1970 A filter
TD1/NARROW2.1965	1965.0	1964.3	1910	2020	110.0	739.2	TD1	TD1	TD1 110A narrow filter centered at 1965A
TD1/WIDE.1965	1965.0	1959.8	1800	2130	330.0	728.8	TD1	TD1	TD1 330A wide filter centered at 1965A
HST/HSP_UV1.F184W_A	1968.6	1947.6	1582	2698	400.6	714.1	HST	HSP	F184W_A filter for HST HSP_UV1
HST/HSP_UV2.F184W_A	1968.6	1947.6	1582	2698	400.6	714.1	HST	HSP	F184W_A filter for HST HSP_UV2
HST/WFPC2-WF.F185W	1970.1	1957.8	1648	2420	370.7	721.7	HST	WFPC2	F185W filter for HST WFPC2 wide field camera (detector 4)
HST/HSP_VIS.F184W_A	1970.5	1948.6	1588	2868	392.5	714.7	HST	HSP	F184W_A filter for HST HSP_VIS
HST/HSP_UV1.F184W_B	1971.9	1950.6	1582	2702	401.1	714.9	HST	HSP	F184W_B filter for HST HSP_UV1
HST/HSP_UV2.F184W_B	1971.9	1950.6	1582	2702	401.1	714.9	HST	HSP	F184W_B filter for HST HSP_UV2
LYRA/LYRA.1	1973.0	1971.3	1831	2157	112.2	740.5	ISS	LYRA	LYRA 195nm (1) filter
HST/HSP_VIS.F184W_B	1974.0	1951.6	1588	2871	393.2	715.5	HST	HSP	F184W_B filter for HST HSP_VIS
HST/WFPC2-PC.F185W	1977.6	1963.1	1648	2628	375.9	722.4	HST	WFPC2	F185W filter for HST WFPC2 planetary camera (detector 1)
TD1/SPEC.F1980	1980.0	1979.7	1927	2024	36.2	752.9	TD1	TD1	TD1 Spectrophotometric filter at 1980A
HST/FOC_F48.F150W	1981.5	1934.6	1165	4104	934.5	667.6	HST	FOC	F150W filter for HST FOC_F/48
TD1/SPEC.F2000	2000.0	1999.7	1947	2044	36.2	741.7	TD1	TD1	TD1 Spectrophotometric filter at 2000A
TD1/TD1.200	2000.0	1999.0	1950	2050	99.9	746.8	TD1	TD1	TD1 2000 A filter
TD1/NARROW1.2000	2000.0	1999.0	1950	2050	100.0	746.9	TD1	TD1	TD1 100A narrow filter centered at 2000A
HST/STIS_NUV.F25CIII_PRISM	2001.3	1994.4	1715	2369	199.6	737.7	HST	STIS	F25CIII filter for HST STIS_NUV, with PRISM grating
HST/HSP_UV2.F179M_A	2004.8	1940.7	1583	3257	294.4	711.7	HST	HSP	F179M_A filter for HST HSP_UV2
HST/STIS_NUV.F25CIII	2008.0	1998.7	1711	2368	201.1	738.8	HST	STIS	F25CIII filter for HST STIS_NUV, with no grating
HST/HSP_UV2.F179M_B	2014.8	1948.1	1583	3260	297.9	714.0	HST	HSP	F179M_B filter for HST HSP_UV2
TD1/SPEC.F2020	2020.0	2019.9	1967	2064	36.2	737.3	TD1	TD1	TD1 Spectrophotometric filter at 2020A
HST/STIS_NUV.F25CIII_G230L	2020.2	2008.9	1726	2415	204.0	743.4	HST	STIS	F25CIII filter for HST STIS_NUV, with G230L grating
HST/STIS_NUV.F25CIII_G230M	2024.9	2013.1	1733	2430	204.1	744.3	HST	STIS	F25CIII filter for HST STIS_NUV, with G230M grating
TD1/SPEC.F2040	2040.0	2040.0	1987	2084	36.2	748.6	TD1	TD1	TD1 Spectrophotometric filter at 2040A
HST/FOC_F96.F130M	2048.6	2497.2	1169	1574	149.0	634.6	HST	FOC	F130M filter for HST FOC_F/96
TD1/SPEC.F2060	2060.0	2059.9	2007	2104	36.2	755.9	TD1	TD1	TD1 Spectrophotometric filter at 2060A
HST/FOC_F48.F175W	2064.1	1999.7	1157	3901	875.7	729.6	HST	FOC	F175W filter for HST FOC_F/48
XMM/OM.UVW2_filter	2066.6	2042.1	1790	2892	435.5	738.9	XMM	OM	XMM OM UVW2 filter transmission only
HST/STIS_NUV.F25CN182	2068.3	2020.8	1200	3092	648.6	720.0	HST	STIS	F25CN182 filter for HST STIS_NUV, with no grating
TD1/TD1.208	2075.0	2074.5	2020	2130	109.9	761.5	TD1	TD1	TD1 2080 A filter
TD1/NARROW2.2075	2075.0	2074.5	2020	2130	110.0	761.5	TD1	TD1	TD1 110A narrow filter centered at 2075A
HST/WFPC1-PC.F194W	2076.6	2048.5	1625	2785	485.9	736.2	HST	WFPC1	F194W filter for HST WF/PC-1 planetary camera (detector 6)
TD1/SPEC.F2080	2080.0	2080.0	2027	2124	36.2	767.8	TD1	TD1	TD1 Spectrophotometric filter at 2080A
HST/STIS_NUV.F25CN182_PRISM	2080.9	2034.4	1200	3107	640.8	723.6	HST	STIS	F25CN182 filter for HST STIS_NUV, with PRISM grating
TD1/SPEC.F2100	2100.0	2099.8	2047	2144	36.2	773.0	TD1	TD1	TD1 Spectrophotometric filter at 2100A
TD1/TD1.210	2100.0	2099.1	2050	2150	99.9	761.5	TD1	TD1	TD1 2100 A filter
TD1/NARROW1.2100	2100.0	2099.1	2050	2150	100.0	761.5	TD1	TD1	TD1 100A narrow filter centered at 2100A
HST/FOC_F96.F170M	2114.0	2052.9	1170	3687	323.6	786.2	HST	FOC	F170M filter for HST FOC_F/96
HST/WFPC1-WF.F194W	2115.3	2087.8	1627	2762	433.4	742.7	HST	WFPC1	F194W filter for HST WF/PC-1 wide field camera (detector 2)
TD1/SPEC.F2120	2120.0	2119.6	2067	2164	36.2	760.8	TD1	TD1	TD1 Spectrophotometric filter at 2120A
HST/STIS_NUV.F25CN182_G230L	2134.3	2087.9	1601	3138	630.2	744.7	HST	STIS	F25CN182 filter for HST STIS_NUV, with G230L grating
TD1/SPEC.F2140	2140.0	2139.9	2087	2184	36.2	755.0	TD1	TD1	TD1 Spectrophotometric filter at 2140A
Swift/UVOT.UVW2	2140.3	2085.7	1597	3480	667.7	760.0	Swift	UVOT	UVOT UVW2 filter effective area
HST/STIS_NUV.F25CN182_G230M	2153.3	2107.8	1640	3100	634.0	749.6	HST	STIS	F25CN182 filter for HST STIS_NUV, with G230M grating
TD1/SPEC.F2160	2160.0	2159.8	2107	2204	36.2	764.4	TD1	TD1	TD1 Spectrophotometric filter at 2160A
LYRA/LYRA.2	2171.7	2169.1	2000	2363	130.3	764.8	ISS	LYRA	LYRA 218nm (2) filter
IUE/IUE.2150-2200	2175.0	2174.9	2149	2201	51.0	771.9	IUE	 	IUE 2150-2200 A
XMM/OM.UVW2	2175.3	2144.9	1800	3246	498.3	766.3	XMM	OM	XMM OM UVW2 filter full effective area
HST/FOC_F96.F175W	2175.5	2095.4	1181	4335	988.3	782.3	HST	FOC	F175W filter for HST FOC_F/96
TD1/SPEC.F2180	2180.0	2180.0	2127	2224	36.2	769.0	TD1	TD1	TD1 Spectrophotometric filter at 2180A
HST/HSP_UV1.F218M_A	2194.4	2186.1	1926	2526	195.2	765.1	HST	HSP	F218M_A filter for HST HSP_UV1
HST/HSP_UV2.F218M_A	2194.4	2186.1	1926	2526	195.2	765.1	HST	HSP	F218M_A filter for HST HSP_UV2
HST/FOC_F96.F210M	2194.9	2183.1	1727	2673	254.5	775.1	HST	FOC	F210M filter for HST FOC_F/96
HST/HSP_UV1.F218M_B	2195.2	2187.0	1927	2527	195.4	765.2	HST	HSP	F218M_B filter for HST HSP_UV1
HST/HSP_UV2.F218M_B	2195.2	2187.0	1927	2527	195.4	765.2	HST	HSP	F218M_B filter for HST HSP_UV2
Astrosat/UVIT.N219M	2196.0	2196.0	1947	2410	249.6	765.4	Astrosat	UVIT	UVIT N219M filter
TD1/SPEC.F2200	2200.0	2199.7	2147	2244	36.2	775.1	TD1	TD1	TD1 Spectrophotometric filter at 2200A
TD1/TD1.220	2200.0	2199.2	2150	2250	99.9	768.4	TD1	TD1	TD1 2200 A filter
TD1/NARROW1.2200	2200.0	2199.2	2150	2250	100.0	768.4	TD1	TD1	TD1 100A narrow filter centered at 2200A
TAUVEX/TAUVEX.NBF3	2201.5	2192.4	1934	2582	241.9	764.2	TAUVEX	TAUVEX	TAUVEX NBF3 approx. filter
TD1/SPEC.F2220	2220.0	2219.8	2167	2264	36.2	765.4	TD1	TD1	TD1 Spectrophotometric filter at 2220A
HST/WFPC2-WF.F218W	2224.9	2202.6	1766	2844	446.5	763.7	HST	WFPC2	F218W filter for HST WFPC2 wide field camera (detector 4)
HST/WFPC2-PC.F218W	2225.1	2202.8	1766	2844	446.5	763.8	HST	WFPC2	F218W filter for HST WFPC2 planetary camera (detector 1)
HST/HSP_UV1.F220W_A	2230.0	2211.0	1728	2815	377.9	764.3	HST	HSP	F220W_A filter for HST HSP_UV1
HST/WFC3_UVIS2.F218W	2231.4	2219.5	1990	2603	322.2	763.2	HST	WFC3	F218W filter for HST WFC3_UVIS2
HST/HSP_UV1.F220W_B	2231.7	2212.7	1732	2837	378.1	764.5	HST	HSP	F220W_B filter for HST HSP_UV1
HST/WFC3_UVIS1.F218W	2235.4	2223.1	1990	2616	329.9	763.3	HST	WFC3	F218W filter for HST WFC3_UVIS1
HST/FOC_F96.F190M	2239.0	2204.2	1642	2755	355.4	869.5	HST	FOC	F190M filter for HST FOC_F/96
TD1/SPEC.F2240	2240.0	2239.7	2187	2284	36.2	759.9	TD1	TD1	TD1 Spectrophotometric filter at 2240A
TAUVEX/TAUVEX.SF2	2250.9	2220.3	1645	2997	505.8	770.6	TAUVEX	TAUVEX	TAUVEX SF2 approx. filter
TD1/TD1.226	2255.0	2254.5	2200	2310	109.9	771.9	TD1	TD1	TD1 2260 A filter
TD1/NARROW2.2255	2255.0	2254.5	2200	2310	110.0	772.0	TD1	TD1	TD1 110A narrow filter centered at 2255A
TD1/SPEC.F2260	2260.0	2260.1	2207	2304	36.2	761.0	TD1	TD1	TD1 Spectrophotometric filter at 2260A
Swift/UVOT.UVM2	2272.7	2245.8	1699	2964	533.8	770.3	Swift	UVOT	UVOT UVM2 filter effective area
HST/ACS_HRC.F220W	2277.9	2253.3	1855	2981	478.9	772.1	HST	ACS	F220W filter for HST ACS_HRC
TD1/SPEC.F2280	2280.0	2280.0	2227	2324	36.2	788.7	TD1	TD1	TD1 Spectrophotometric filter at 2280A
HST/FOC_F96.F120M	2292.2	3274.1	1130	1539	162.7	890.6	HST	FOC	F120M filter for HST FOC_F/96
TD1/SPEC.F2300	2300.0	2299.6	2247	2344	36.2	784.8	TD1	TD1	TD1 Spectrophotometric filter at 2300A
TD1/TD1.230	2300.0	2299.1	2250	2350	99.9	769.1	TD1	TD1	TD1 2300 A filter
TD1/NARROW1.2300	2300.0	2299.1	2250	2350	100.0	769.1	TD1	TD1	TD1 100A narrow filter centered at 2300A
XMM/OM.UVM2_filter	2303.8	2283.8	1821	2919	461.9	773.9	XMM	OM	XMM OM UVM2 filter transmission only
