#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
SOFIA/FPI.u_sdss	3778.6	3786.0	3675	3849	79.2	2261.1	SOFIA	FPI	FPI+ SDSS u' filter
Rosetta/OSIRIS_NAC.F86	3778.8	3806.8	3500	4049	185.7	2347.6	Rosetta	OSIRIS_NAC	OSIRIS_NAC F86 Filter (full)
SOFIA/HIPO.U_d575_alm	3780.8	3832.1	3301	4256	380.0	2433.2	SOFIA	HIPO	HIPO U (dichroic 575 + Al mirror)
CTIO/CTIO.3780-181	3781.2	3798.8	3600	3965	179.0	2270.3	CTIO	 	CTIO 3780/181
OAJ/JPLUS.J0378	3783.2	3793.4	3679	3888	136.3	3631.0	OAJ	T80Cam	J-PLUS g J0378 (full transmission)
WHT/PAUCam.u	3783.6	3841.7	3113	4138	359.5	2641.7	WHT	PAUCam	PAUCam u filter
OAJ/JPLUS.F0378_filter	3786.5	3797.8	3682	3891	150.9	3631.0	OAJ	T80Cam	J-PLUS [OII] (filter only)
SOFIA/HIPO.U_d575	3789.2	3833.3	3434	4131	349.8	2470.9	SOFIA	HIPO	HIPO U (dichroic 575)
TNG/TNG.TNG18	3789.8	3793.1	3726	3855	71.7	2378.3	TNG	 	TNG filter #18. A7386
CAHA/PlanetCam2.VIS_U	3791.5	3842.1	3223	4198	400.8	2566.6	CAHA	PlanetCam2	PlanetCam2, VIS, U band (filter + ccd)
HST/WFC3_UVIS1.FQ378N	3792.8	3797.1	3724	3872	98.5	2347.9	HST	WFC3	FQ378N filter for HST WFC3_UVIS1
HST/WFC3_UVIS2.FQ378N	3792.8	3797.1	3724	3872	98.5	2347.9	HST	WFC3	FQ378N filter for HST WFC3_UVIS2
OAJ/JPAS.J0378	3797.6	3808.7	3691	3904	147.5	3631.0	OAJ	JPCam	JPAS J0378 filter
LaSilla/EMMI.OII_5000	3798.0	3801.0	3726	3884	67.9	2468.9	LaSilla	EMMI	EMMI OII_5000, ESO#649 (filter only)
CTIO/CTIO.3800-110	3799.9	3806.8	3682	3932	109.4	2456.9	CTIO	 	CTIO 3800/110
LICK/LICK.3804_65	3805.7	3810.4	3700	3900	80.3	2521.5	LICK	 	LICK,.3804_65
NOT/NOT.130	3809.9	3812.9	3720	3916	75.5	2581.0	NOT	 	NOT filter 130, 381_8
CAHA/PlanetCam2.VIS_Vio_filter	3814.9	3872.6	3501	4112	502.1	2672.3	CAHA	PlanetCam2	PlanetCam2, VIS, Vio band (filter only)
CFHT/MegaCam.u_1	3817.7	3884.7	3315	4262	525.4	2762.0	CFHT	MegaCam	MegaCam 1st generation u filter (installed in 2002, valid until 2015).
CTIO/DECam.u	3821.7	3857.1	3340	4040	263.6	2734.6	CTIO	DECam	DECam u filter (total transmission). DR1
CTIO/DECam.u_old	3821.7	3857.1	3340	4040	263.6	2734.6	CTIO	DECam	DECam u filter (total transmission). Old.
GCPD/DDO.m38_ADPS	3822.4	3856.7	3547	4142	326.8	2663.7	DDO	 	DDO m38 filter (ADPS)
CFHT/CFHT.U	3823.3	3890.1	3324	4271	528.7	2777.4	CFHT	 	CFHT.U
HST/WFPC2-WF.FQUVN_B	3829.7	3833.0	3769	3892	73.5	2918.5	HST	WFPC2	FQUVN quad filter (B position) for HST WFPC2 wide field camera
SkyMapper/SkyMapper.v	3837.7	3870.9	3550	4217	318.8	2771.8	SkyMapper	SkyMapper	SkyMapper v normalized passband
GCPD/Walraven.L	3837.9	3858.2	3618	4079	227.0	2822.6	 	 	Walraven L filter in GCPD (ADPS)
LasCumbres/LasCumbres.BSkymapper_v	3839.2	3859.7	3654	4044	271.1	2808.3	LasCumbres	 	Las Cumbres Observatory Skymapper v filter
CAHA/CAHA.385_8	3842.3	3845.0	3700	3918	76.9	3002.9	CAHA	 	CAHA 385.8
Cassini/ISS_NAC.BL1_UV3	3849.1	3866.0	3455	4015	155.8	3043.8	Cassini	ISS_NAC	Cassini ISS NAC comb. BL1/UV3 filter (full)
LaSilla/EMMI.OII_10000	3852.9	3854.4	3776	3936	71.4	3132.7	LaSilla	EMMI	EMMI OII_10000, ESO#650 (filter only)
Subaru/FOCAS.N386	3857.3	3860.4	3762	3957	109.7	3108.7	Subaru	FOCAS	FOCAS N386
